ano,sigla_uf,id_municipio,quantidade_vinculos_ativos,cnae_2,cnae_2_subclasse
2023,RS,4314902,25,18229,1822999
2023,RS,4314902,15,25128,2512800
2023,RS,4314902,28,46451,4645101
2023,RS,4314902,29,49299,4929902
2023,RS,4314902,36,53202,5320201
2023,RS,4314902,30,85121,8512100
2023,RS,4314902,27,86216,8621602
2023,RS,4314902,16,96033,9603304
2023,RS,4314902,19,64221,6422100
2023,RS,4314902,13,81214,8121400
2023,RS,4314902,29,49299,4929902
2023,RS,4314902,82,81214,8121400
2023,RS,4314902,20,95215,9521500
2023,RS,4314902,91,85201,8520100
2023,RS,4314902,12,85112,8511200
2023,RS,4314902,30,94201,9420100
2023,RS,4314902,12,46451,4645101
2023,RS,4314902,113,64239,6423900
2023,RS,4314902,24,64239,6423900
2023,RS,4314902,620,28224,2822402
2023,RS,4314902,20,64221,6422100
2023,RS,4314902,18,62015,6201501
2023,RS,4314902,18,23303,2330302
2023,RS,4314902,33,26108,2610800
2023,RS,4314902,29,78302,7830200
2023,RS,4314902,21,46737,4673700
2023,RS,4314902,31,62023,6202300
2023,RS,4314902,791,84116,8411600
2023,RS,4314902,14,85112,8511200
2023,RS,4314902,25,52320,5232000
2023,RS,4314902,12,86402,8640299
2023,RS,4314902,12,47822,4782201
2023,RS,4314902,19,85112,8511200
2023,RS,4314902,25,47211,4721104
2023,RS,4314902,63,10911,1091102
2023,RS,4314902,13,81214,8121400
2023,RS,4314902,24,10414,1041400
2023,RS,4314902,24,64221,6422100
2023,RS,4314902,21,85112,8511200
2023,RS,4314902,57,61108,6110803
2023,RS,4314902,384,88006,8800600
2023,RS,4314902,12,85112,8511200
2023,RS,4314902,78,26108,2610800
2023,RS,4314902,248,26108,2610800
2023,RS,4314902,25,80200,8020001
2023,RS,4314902,35,80200,8020001
2023,RS,4314902,15,46460,4646002
2023,RS,4314902,54,52231,5223100
2023,RS,4314902,31,17311,1731100
2023,RS,4314902,212,84302,8430200
2023,RS,4314902,620,84116,8411600
2023,RS,4314902,54,85201,8520100
2023,RS,4314902,83,78302,7830200
2023,RS,4314902,19,47211,4721104
2023,RS,4314902,319,80111,8011101
2023,RS,4314902,15,53202,5320202
2023,RS,4314902,55,64221,6422100
2023,RS,4314902,104,62015,6201501
2023,RS,4314902,157,85139,8513900
2023,RS,4314902,299,84116,8411600
2023,RS,4314902,36,46516,4651602
2023,RS,4314902,25,88006,8800600
2023,RS,4314902,37,46729,4672900
2023,RS,4314902,12,55108,5510801
2023,RS,4314902,36,85121,8512100
2023,RS,4314902,19,47822,4782201
2023,RS,4314902,51,66304,6630400
2023,RS,4314902,13,64239,6423900
2023,RS,4314902,28,46371,4637104
2023,RS,4314902,32,53105,5310501
2023,RS,4314902,14,55108,5510801
2023,RS,4314902,27,47113,4711302
2023,RS,4314902,30,85121,8512100
2023,RS,4314902,15,85121,8512100
2023,RS,4314902,33,94201,9420100
2023,RS,4314902,24,46494,4649405
2023,RS,4314902,64,80111,8011101
2023,RS,4314902,13,32507,3250709
2023,RS,4314902,19,85112,8511200
2023,RS,4314902,62,53105,5310501
2023,RS,4314902,22,71201,7120100
2023,RS,4314902,12,64221,6422100
2023,RS,4314902,66,85139,8513900
2023,RS,4314902,91,86402,8640205
2023,RS,4314902,41,62015,6201501
2023,RS,4314902,15,85414,8541400
2023,RS,4314902,16,79112,7911200
2023,RS,4314902,295,80111,8011101
2023,RS,4314902,27,80200,8020001
2023,RS,4314902,69,49213,4921301
2023,RS,4314902,21,10911,1091101
2023,RS,4314902,82,46711,4671100
2023,RS,4314902,21,87115,8711502
2023,RS,4314902,22,20291,2029100
2023,RS,4314902,18,46834,4683400
2023,RS,4314902,38,88006,8800600
2023,RS,4314902,12,90019,9001902
2023,RS,4314902,20,62015,6201501
2023,RS,4314902,14,85325,8532500
2023,RS,4314902,24,47130,4713004
2023,RS,4314902,12,49299,4929902
2023,RS,4314902,19,43134,4313400
2023,RS,4314902,20,22218,2221800
2023,RS,4314902,69,47113,4711302
2023,RS,4314902,17,81214,8121400
2023,RS,4314902,24,79112,7911200
2023,RS,4314902,46,47113,4711302
2023,RS,4314902,16,47211,4721102
2023,RS,4314902,57,46478,4647801
2023,RS,4314902,16,63119,6311900
2023,RS,4314902,27,55108,5510801
2023,RS,4314902,20,18130,1813099
2023,RS,4314902,17,23303,2330303
2023,RS,4314902,45,85112,8511200
2023,RS,4314902,12,28291,2829199
2023,RS,4314902,143,81214,8121400
2023,RS,4314902,55,94120,9412001
2023,RS,4314902,338,62023,6202300
2023,RS,4314902,12,61108,6110803
2023,RS,4314902,30,62015,6201501
2023,RS,4314902,14,85112,8511200
2023,RS,4314902,454,84116,8411600
2023,RS,4314902,13,64221,6422100
2023,RS,4314902,33,85325,8532500
2023,RS,4314902,79,80111,8011101
2023,RS,4314902,113,46613,4661300
2023,RS,4314902,13,61108,6110803
2023,RS,4314902,171,87301,8730199
2023,RS,4314902,65,46630,4663000
2023,RS,4314902,12,64930,6493000
2023,RS,4314902,153,21220,2122000
2023,RS,4314902,155,10911,1091101
2023,RS,4314902,14,32400,3240003
2023,RS,4314902,22,85112,8511200
2023,RS,4314902,21,10996,1099604
2023,RS,4314902,13,10911,1091101
2023,RS,4314902,18,85112,8511200
2023,RS,4314902,24,46320,4632003
2023,RS,4314902,15,49221,4922101
2023,RS,4314902,90,85201,8520100
2023,RS,4314902,32,47211,4721102
2023,RS,4314902,506,84116,8411600
2023,RS,4314902,40,71201,7120100
2023,RS,4314902,29,22293,2229302
2023,RS,4314902,38,43223,4322302
2023,RS,4314902,14,85121,8512100
2023,RS,4314902,428,62015,6201501
2023,RS,4314902,41,64221,6422100
2023,RS,4314902,48,64361,6436100
2023,RS,4314902,20,79112,7911200
2023,RS,4314902,57,84116,8411600
2023,RS,4314902,55,55108,5510801
2023,RS,4314902,125,85201,8520100
2023,RS,4314902,105,62023,6202300
2023,RS,4314902,63,94201,9420100
2023,RS,4314902,13,46648,4664800
2023,RS,4314902,20,46346,4634601
2023,RS,4314902,133,62023,6202300
2023,RS,4314902,22,94120,9412001
2023,RS,4314902,32,64239,6423900
2023,RS,4314902,13,66193,6619302
2023,RS,4314902,36,86101,8610101
2023,RS,4314902,18,85112,8511200
2023,RS,4314902,28,47822,4782201
2023,RS,4314902,14,52231,5223100
2023,RS,4314902,13,64239,6423900
2023,RS,4314902,24,86305,8630507
2023,RS,4314902,12,47822,4782201
2023,RS,4314902,14,58298,5829800
2023,RS,4314902,56,84116,8411600
2023,RS,4314902,14,45412,4541202
2023,RS,4314902,12,46338,4633801
2023,RS,4314902,18,64239,6423900
2023,RS,4314902,65,55108,5510801
2023,RS,4314902,62,53105,5310501
2023,RS,4314902,92,94111,9411100
2023,RS,4314902,94,47113,4711302
2023,RS,4314902,26,86216,8621602
2023,RS,4314902,16,85112,8511200
2023,RS,4314902,36,86909,8690999
2023,RS,4314902,36,64930,6493000
2023,RS,4314902,13,01334,0133499
2023,RS,4314902,12,14126,1412602
2023,RS,4314902,15,14126,1412601
2023,RS,4314902,13,14126,1412601
2023,RS,4314902,100,14126,1412601
2023,RS,4314902,15,41204,4120400
2023,RS,4314902,52,41204,4120400
2023,RS,4314902,66,41204,4120400
2023,RS,4314902,17,41204,4120400
2023,RS,4314902,30,41204,4120400
2023,RS,4314902,26,41204,4120400
2023,RS,4314902,12,41204,4120400
2023,RS,4314902,82,41204,4120400
2023,RS,4314902,33,41204,4120400
2023,RS,4314902,191,41204,4120400
2023,RS,4314902,17,41204,4120400
2023,RS,4314902,15,41204,4120400
2023,RS,4314902,316,41204,4120400
2023,RS,4314902,17,41204,4120400
2023,RS,4314902,40,41204,4120400
2023,RS,4314902,49,41204,4120400
2023,RS,4314902,13,43215,4321500
2023,RS,4314902,22,43215,4321500
2023,RS,4314902,35,43291,4329103
2023,RS,4314902,16,43304,4330403
2023,RS,4314902,26,43991,4399103
2023,RS,4314902,17,43304,4330402
2023,RS,4314902,31,43991,4399103
2023,RS,4314902,119,43991,4399103
2023,RS,4314902,14,43304,4330499
2023,RS,4314902,29,45111,4511101
2023,RS,4314902,73,45111,4511101
2023,RS,4314902,79,45111,4511101
2023,RS,4314902,22,45111,4511101
2023,RS,4314902,97,45111,4511101
2023,RS,4314902,21,45111,4511101
2023,RS,4314902,45,45111,4511101
2023,RS,4314902,26,45111,4511101
2023,RS,4314902,13,45200,4520002
2023,RS,4314902,21,52290,5229002
2023,RS,4314902,30,45307,4530701
2023,RS,4314902,37,45307,4530701
2023,RS,4314902,15,45307,4530703
2023,RS,4314902,14,45307,4530702
2023,RS,4314902,12,45307,4530703
2023,RS,4314902,17,45307,4530701
2023,RS,4314902,44,45307,4530702
2023,RS,4314902,14,47318,4731800
2023,RS,4314902,27,47318,4731800
2023,RS,4314902,25,47318,4731800
2023,RS,4314902,35,47318,4731800
2023,RS,4314902,13,47318,4731800
2023,RS,4314902,22,47318,4731800
2023,RS,4314902,19,47318,4731800
2023,RS,4314902,15,47318,4731800
2023,RS,4314902,14,47318,4731800
2023,RS,4314902,22,47318,4731800
2023,RS,4314902,15,46192,4619200
