ano,id_municipio,quantidade_vinculos_ativos,cnae_2,cep
2023,4314902,128,42928,91130720
2023,4314902,275,85325,90420060
2023,4314902,13,56201,90220020
2023,4314902,23,65502,90220001
2023,4314902,50,85201,90050280
2023,4314902,100,62023,90670150
2023,4314902,12,55108,90660110
2023,4314902,14,18229,90230030
2023,4314902,125,85201,91920130
2023,4314902,45,43291,90230011
2023,4314902,80,47113,91380000
2023,4314902,21,85121,90520050
2023,4314902,13,64239,90610000
2023,4314902,43,23192,90230010
2023,4314902,13,66193,90020171
2023,4314902,39,62031,90480003
2023,4314902,20,62015,90619900
2023,4314902,45,52231,90200310
2023,4314902,26,49213,91910001
2023,4314902,19,87204,91350000
2023,4314902,171,47113,91755000
2023,4314902,12,43134,91750140
2023,4314902,206,85139,90840360
2023,4314902,44,47849,91140000
2023,4314902,53,46478,90240611
2023,4314902,48,46460,90200110
2023,4314902,16,47610,90480002
2023,4314902,19,22196,90230140
2023,4314902,66,80111,90200001
2023,4314902,15,64221,90480003
2023,4314902,19,10911,90460200
2023,4314902,13,45412,90220002
2023,4314902,24,46346,90200041
2023,4314902,19,81214,91180080
2023,4314902,25,43118,91040610
2023,4314902,16,43118,91530410
2023,4314902,14,64221,91910154
2023,4314902,28,47113,91110580
2023,4314902,675,47113,90610000
2023,4314902,20,81214,91760400
2023,4314902,16,46451,91050371
2023,4314902,57,87301,91260370
2023,4314902,35,47130,91340001
2023,4314902,15,85112,91755190
2023,4314902,15,45412,90690000
2023,4314902,33,85139,90160092
2023,4314902,9324,84116,90010390
2023,4314902,23,29492,91020000
2023,4314902,15,64221,91330002
2023,4314902,427,20134,90480002
2023,4314902,55,64221,90220003
2023,4314902,42,71201,90200290
2023,4314902,20,64221,91010000
2023,4314902,12,47113,91150020
2023,4314902,41,64221,90480000
2023,4314902,652,56201,90230123
2023,4314902,13,46338,90200041
2023,4314902,43,88006,91710020
2023,4314902,16,46524,90030140
2023,4314902,18,77390,90550142
2023,4314902,13,52117,91060410
2023,4314902,174,24512,91160440
2023,4314902,39,86909,90610270
2023,4314902,154,64344,90010210
2023,4314902,15,55108,90660080
